Name,ticker,date,Variable,Value,timehorizon
Home Depot,HD,2020-06-24,Adjusted Price,241.994644,1Y
Home Depot,HD,2020-06-25,Adjusted Price,241.257233,1Y
Home Depot,HD,2020-06-26,Adjusted Price,236.960648,1Y
Home Depot,HD,2020-06-29,Adjusted Price,241.984802,1Y
Home Depot,HD,2020-06-30,Adjusted Price,246.301056,1Y
Home Depot,HD,2020-07-01,Adjusted Price,243.980698,1Y
Home Depot,HD,2020-07-02,Adjusted Price,244.324814,1Y
Home Depot,HD,2020-07-06,Adjusted Price,245.357178,1Y
Home Depot,HD,2020-07-07,Adjusted Price,243.194138,1Y
Home Depot,HD,2020-07-08,Adjusted Price,244.983566,1Y
Home Depot,HD,2020-07-09,Adjusted Price,243.7939,1Y
Home Depot,HD,2020-07-10,Adjusted Price,245.907761,1Y
Home Depot,HD,2020-07-13,Adjusted Price,245.425995,1Y
Home Depot,HD,2020-07-14,Adjusted Price,253.458755,1Y
Home Depot,HD,2020-07-15,Adjusted Price,253.468552,1Y
Home Depot,HD,2020-07-16,Adjusted Price,253.743851,1Y
Home Depot,HD,2020-07-17,Adjusted Price,256.005219,1Y
Home Depot,HD,2020-07-20,Adjusted Price,255.798752,1Y
Home Depot,HD,2020-07-21,Adjusted Price,258.010956,1Y
Home Depot,HD,2020-07-22,Adjusted Price,260.714752,1Y
Home Depot,HD,2020-07-23,Adjusted Price,259.377563,1Y
Home Depot,HD,2020-07-24,Adjusted Price,260.852356,1Y
Home Depot,HD,2020-07-27,Adjusted Price,262.926971,1Y
Home Depot,HD,2020-07-28,Adjusted Price,260.822876,1Y
Home Depot,HD,2020-07-29,Adjusted Price,260.213318,1Y
Home Depot,HD,2020-07-30,Adjusted Price,261.835571,1Y
Home Depot,HD,2020-07-31,Adjusted Price,261.029327,1Y
